Bank Name,Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions)
Bartow County Bank,15-Apr-11,$330.20 ,$304.10 
Nevada Commerce Bank,08-Apr-11,$144.90 ,$136.40 
Western Springs National Bank and Trust,08-Apr-11,$186.80 ,$181.90 
The Bank of Commerce,25-Mar-11,$163.10 ,$161.40 
Legacy Bank,11-Mar-11,$190.40 ,$183.30 
The First National Bank of Davis,11-Mar-11,$90.20 ,$68.30 
Valley Community Bank,25-Feb-11,$123.80 ,$124.20 
San Luis Trust Bank,18-Feb-11,$332.60 ,$272.20 
Charter Oak Bank,18-Feb-11,$120.80 ,$105.30 
Citizens Bank of Effingham,18-Feb-11,$214.30 ,$206.50 
Habersham Bank,18-Feb-11,$387.60 ,$339.90 
Canyon National Bank,11-Feb-11,$210.90 ,$205.30 
Badger State Bank,11-Feb-11,$83.80 ,$78.50 
Peoples State Bank,11-Feb-11,$390.50 ,$389.90 
Sunshine State Community Bank,11-Feb-11,$125.50 ,$116.70 
Community First Bank - Chicago,04-Feb-11,$51.10 ,$49.50 
North Georgia Bank,04-Feb-11,$153.20 ,$139.70 
American Trust Bank,04-Feb-11,$238.20 ,$222.20 
First Community Bank,28-Jan-11,"$2,310.00 ","$1,940.00 "
FirsTier Bank,28-Jan-11,$781.50 ,$722.80 
Evergreen State Bank,28-Jan-11,$246.50 ,$195.20 
The First State Bank,28-Jan-11,$43.50 ,$40.30 
United Western Bank,21-Jan-11,"$2,050.00 ","$1,650.00 "
The Bank of Asheville,21-Jan-11,$195.10 ,$188.30 
CommunitySouth Bank and Trust,21-Jan-11,$440.60 ,$402.40 
Enterprise Banking Company,21-Jan-11,$100.90 ,$95.50 
Oglethorpe Bank,14-Jan-11,$230.60 ,$212.70 
Legacy Bank,07-Jan-11,$150.60 ,$125.90 
First Commercial Bank of Florida,07-Jan-11,$598.50 ,$529.60 
Community National Bank,17-Dec-10,$31.60 ,$28.80 
First Southern Bank,17-Dec-10,$191.80 ,$155.80 
United Americas Bank,17-Dec-10,$242.30 ,$193.80 
Appalachian Community Bank,17-Dec-10,$68.20 ,$76.40 
Chestatee State Bank,17-Dec-10,$244.40 ,$240.50 
The Bank of Miami,17-Dec-10,$448.20 ,$374.20 
Earthstar Bank,10-Dec-10,$112.60 ,$104.50 
Paramount Bank,10-Dec-10,$252.70 ,$213.60 
First Banking Center,19-Nov-10,$750.70 ,$664.80 
Allegiance Bank of North America,19-Nov-10,$106.60 ,$92.00 
Gulf State Community Bank,19-Nov-10,$112.10 ,$112.20 
Copper Star Bank,12-Nov-10,$204.00 ,$190.20 
Darby Bank & Trust Co.,12-Nov-10,$654.70 ,$587.60 
Tifton Banking Company,12-Nov-10,$143.70 ,$141.60 
First Vietnamese American Bank,05-Nov-10,$48.00 ,$47.00 
Pierce Commercial Bank,05-Nov-10,$221.10 ,$193.50 
Western Commercial Bank,05-Nov-10,$98.60 ,$101.10 
K Bank,05-Nov-10,$538.30 ,$500.10 
First Arizona Savings,22-Oct-10,$272.20 ,$198.80 
Hillcrest Bank,22-Oct-10,"$1,650.00 ","$1,540.00 "
First Suburban National Bank,22-Oct-10,$148.70 ,$140.00 
The First National Bank of Barnesville,22-Oct-10,$131.40 ,$127.10 
The Gordon Bank,22-Oct-10,$29.40 ,$26.70 
Progress Bank of Florida,22-Oct-10,$110.70 ,$101.30 
First Bank of Jacksonville,22-Oct-10,$81.00 ,$77.30 
Premier Bank,15-Oct-10,"$1,180.00 ","$1,030.00 "
WestBridge Bank and Trust Company,15-Oct-10,$91.50 ,$72.50 
